====================================================================
Snapshot from JSON : crypto_20251209T120001.json
Logged at (local)  : 2025-12-09 15:15:21
--------------------------------------------------------------------
id         symbol   name                price         mkt_cap          volume     high_24h      low_24h    chg24h% last_updated
bitcoin    btc      Bitcoin             90421   1803611134471     44696317756        92203        89736   -0.76629 2025-12-09T03:59:59.593Z
ethereum   eth      Ethereum          3126.86    376949868661     24888385790      3171.62      3093.48     0.4453 2025-12-09T03:59:56.754Z
ripple     xrp      XRP                  2.07    124748640805      2788629944         2.11         2.06   -0.14261 2025-12-09T03:59:57.876Z
binancecoin bnb      BNB                894.31    123036480785      1428909704       911.32       890.37   -0.82066 2025-12-09T03:59:52.666Z
solana     sol      Solana             133.98     75004942321      5277973511       138.98       132.74   -0.23959 2025-12-09T03:59:58.166Z
tron       trx      TRON             0.280381     26549429705       565151427     0.287395     0.280286    -2.3363 2025-12-09T03:59:59.456Z
dogecoin   doge     Dogecoin         0.141568     22845943808      1157294405     0.144268     0.140383    0.83914 2025-12-09T03:59:52.838Z
cardano    ada      Cardano          0.431893     15803655879       626286567      0.44007     0.422866    2.13488 2025-12-09T03:59:52.114Z
chainlink  link     Chainlink            13.7      9535128962       571213693        14.22         13.6   -1.38514 2025-12-09T03:59:52.180Z
litecoin   ltc      Litecoin            83.48      6388972531       491396976        84.33         82.5    1.18521 2025-12-09T03:59:55.185Z


